method_label,corruption,accuracy,std_accuracy,error_rate,std_error_rate,n_seeds
source,brightness,0.8434000015258789,,0.15659999847412104,,1
bn,brightness,0.8352800130844116,,0.16471998691558837,,1
entropy,brightness,0.856659996509552,,0.14334000349044795,,1
gated@0.5,brightness,0.8559999942779541,,0.14400000572204585,,1
gated@0.7,brightness,0.8562600135803222,,0.1437399864196777,,1
gated@0.9,brightness,0.8563799977302551,,0.1436200022697448,,1
source,contrast,0.7504199981689453,,0.24958000183105464,,1
bn,contrast,0.8980999946594238,,0.10190000534057612,,1
entropy,contrast,0.908079993724823,,0.09192000627517696,,1
gated@0.5,contrast,0.9083399891853332,,0.09166001081466671,,1
gated@0.7,contrast,0.9096399903297424,,0.09036000967025755,,1
gated@0.9,contrast,0.9120000123977661,,0.08799998760223385,,1
source,gaussian_blur,0.5062999963760376,,0.4937000036239624,,1
bn,gaussian_blur,0.8074400067329407,,0.19255999326705928,,1
entropy,gaussian_blur,0.8217600107192993,,0.17823998928070064,,1
gated@0.5,gaussian_blur,0.8207799911499023,,0.17922000885009762,,1
gated@0.7,gaussian_blur,0.820739996433258,,0.1792600035667419,,1
gated@0.9,gaussian_blur,0.8244799971580505,,0.17552000284194944,,1
source,gaussian_noise,0.5217399954795837,,0.4782600045204163,,1
bn,gaussian_noise,0.7455600142478943,,0.2544399857521057,,1
entropy,gaussian_noise,0.7847599864006043,,0.2152400135993957,,1
gated@0.5,gaussian_noise,0.784500002861023,,0.215499997138977,,1
gated@0.7,gaussian_noise,0.7846399903297424,,0.21536000967025756,,1
gated@0.9,gaussian_noise,0.7854600071907043,,0.21453999280929564,,1
source,jpeg,0.6895799994468689,,0.31042000055313107,,1
bn,jpeg,0.6917400002479553,,0.30825999975204466,,1
entropy,jpeg,0.726580011844635,,0.273419988155365,,1
gated@0.5,jpeg,0.7271999955177307,,0.27280000448226926,,1
gated@0.7,jpeg,0.7263600111007691,,0.2736399888992309,,1
gated@0.9,jpeg,0.7272599935531616,,0.2727400064468383,,1
source,motion_blur,0.4152799993753433,,0.5847200006246567,,1
bn,motion_blur,0.7696000099182129,,0.23039999008178708,,1
entropy,motion_blur,0.7866400122642517,,0.21335998773574824,,1
gated@0.5,motion_blur,0.7867800116539001,,0.21321998834609981,,1
gated@0.7,motion_blur,0.7860399961471558,,0.21396000385284425,,1
gated@0.9,motion_blur,0.7878199934959411,,0.2121800065040588,,1
source,pixelate,0.4070800065994263,,0.5929199934005738,,1
bn,pixelate,0.6115799963474273,,0.3884200036525726,,1
entropy,pixelate,0.6508600056171417,,0.34913999438285825,,1
gated@0.5,pixelate,0.6489200055599212,,0.3510799944400787,,1
gated@0.7,pixelate,0.6493000090122223,,0.3506999909877777,,1
gated@0.9,pixelate,0.64896000623703,,0.35103999376296996,,1
