method_label,severity,accuracy,error_rate
bn,1,0.6837857110159737,0.3162142889840262
bn,2,0.6642142874853951,0.3357857125146048
bn,3,0.6279285720416478,0.37207142795835224
bn,4,0.5813571470124381,0.41864285298756193
bn,5,0.5177142832960401,0.48228571670395987
entropy,1,0.6880714212145124,0.3119285787854875
entropy,2,0.67085713999612,0.32914286000388004
entropy,3,0.6359999946185521,0.3640000053814479
entropy,4,0.5916428565979004,0.4083571434020996
entropy,5,0.5272857121058873,0.47271428789411274
gated@0.5,1,0.6877857106072562,0.3122142893927438
gated@0.5,2,0.6710000038146973,0.3289999961853027
gated@0.5,3,0.63607143504279,0.36392856495721
gated@0.5,4,0.5920714225087848,0.40792857749121525
gated@0.5,5,0.5279285737446376,0.47207142625536236
gated@0.7,1,0.6871428489685059,0.31285715103149414
gated@0.7,2,0.6702857187816075,0.3297142812183925
gated@0.7,3,0.6367142881665911,0.3632857118334089
gated@0.7,4,0.5910000119890485,0.40899998801095144
gated@0.7,5,0.5271428525447845,0.47285714745521545
gated@0.9,1,0.6874285766056606,0.31257142339433935
gated@0.9,2,0.669357146535601,0.3306428534643991
gated@0.9,3,0.6329999991825649,0.3670000008174351
gated@0.9,4,0.5862142869404384,0.4137857130595616
gated@0.9,5,0.5245714272771563,0.4754285727228437
source,1,0.6509285654340472,0.34907143456595285
source,2,0.5827142809118543,0.41728571908814566
source,3,0.489642858505249,0.510357141494751
source,4,0.4165714255401066,0.5834285744598934
source,5,0.3436428563935416,0.6563571436064584
