method,threshold,corruption,severity,accuracy,error_rate,nll,entropy,ece,runtime_sec,selected_fraction,num_samples,subset_size,tta_lr,tta_steps
source,,clean,0,0.7120000123977661,0.2879999876022339,0.8192911148071289,0.7357292771339417,0.02915453352034092,0.7207213999999995,0.0,2000,2000,,
bn,,clean,0,0.703000009059906,0.296999990940094,0.838817834854126,0.8336994647979736,0.02816367894411087,0.5308055999999999,1.0,2000,2000,,
entropy,,clean,0,0.7070000171661377,0.2929999828338623,0.8243919014930725,0.7945430278778076,0.031427111476659775,1.3528136000000002,1.0,2000,2000,0.001,1
gated,0.5,clean,0,0.7070000171661377,0.2929999828338623,0.82435142993927,0.7956793904304504,0.02953644096851349,1.3653716999999999,0.775,2000,2000,0.001,1
gated,0.7,clean,0,0.7059999704360962,0.2940000295639038,0.8259204626083374,0.7983705997467041,0.02790949121117592,1.3240452000000005,0.554,2000,2000,0.001,1
gated,0.9,clean,0,0.7064999938011169,0.29350000619888306,0.8273889422416687,0.8021115660667419,0.032845389097929,1.3196186999999995,0.3155,2000,2000,0.001,1
source,,gaussian_noise,1,0.6769999861717224,0.3230000138282776,0.9124490022659302,0.776553213596344,0.049988072365522385,0.8730225999999988,0.0,2000,2000,,
bn,,gaussian_noise,1,0.6869999766349792,0.31300002336502075,0.8773767948150635,0.8574342727661133,0.03391868993639946,0.8952013000000001,1.0,2000,2000,,
entropy,,gaussian_noise,1,0.6909999847412109,0.30900001525878906,0.8596076369285583,0.8172394037246704,0.03575698286294937,1.6760731,1.0,2000,2000,0.001,1
gated,0.5,gaussian_noise,1,0.6924999952316284,0.3075000047683716,0.8592507839202881,0.8179838061332703,0.03145400807261467,1.6152771000000001,0.7695,2000,2000,0.001,1
gated,0.7,gaussian_noise,1,0.6899999976158142,0.3100000023841858,0.8608058094978333,0.8201318383216858,0.029510758817195892,1.598495100000001,0.5435,2000,2000,0.001,1
gated,0.9,gaussian_noise,1,0.6930000185966492,0.30699998140335083,0.8633286952972412,0.8249094486236572,0.03151223435997963,1.6176648,0.301,2000,2000,0.001,1
source,,gaussian_noise,2,0.6129999756813049,0.38700002431869507,1.0976122617721558,0.8294140696525574,0.09464579820632935,0.9115541,0.0,2000,2000,,
bn,,gaussian_noise,2,0.671999990940094,0.328000009059906,0.9226107001304626,0.8872962594032288,0.02067190408706665,0.9187852000000021,1.0,2000,2000,,
entropy,,gaussian_noise,2,0.6790000200271606,0.32099997997283936,0.8992760181427002,0.8458212614059448,0.03141103312373161,1.6238835000000016,1.0,2000,2000,0.001,1
gated,0.5,gaussian_noise,2,0.6804999709129333,0.31950002908706665,0.9002165794372559,0.8473938703536987,0.02782784029841423,1.6442309999999978,0.758,2000,2000,0.001,1
gated,0.7,gaussian_noise,2,0.6809999942779541,0.3190000057220459,0.9007146954536438,0.8501251935958862,0.025980282574892044,1.6168402999999998,0.519,2000,2000,0.001,1
gated,0.9,gaussian_noise,2,0.6809999942779541,0.3190000057220459,0.9055626392364502,0.8549121618270874,0.023735566064715385,1.6627460999999997,0.283,2000,2000,0.001,1
source,,gaussian_noise,3,0.5105000138282776,0.4894999861717224,1.5200270414352417,0.9149761199951172,0.16887731850147247,0.9110891999999993,0.0,2000,2000,,
bn,,gaussian_noise,3,0.6355000138282776,0.3644999861717224,1.030206561088562,0.9412287473678589,0.03394423797726631,0.9093088999999992,1.0,2000,2000,,
entropy,,gaussian_noise,3,0.6480000019073486,0.35199999809265137,1.0005322694778442,0.8974461555480957,0.03513772040605545,1.5971857000000043,1.0,2000,2000,0.001,1
gated,0.5,gaussian_noise,3,0.6485000252723694,0.3514999747276306,0.9996621608734131,0.8987283706665039,0.03550070524215698,1.6307791999999992,0.721,2000,2000,0.001,1
gated,0.7,gaussian_noise,3,0.6455000042915344,0.3544999957084656,1.0027484893798828,0.902249813079834,0.03574605658650398,1.6883813999999973,0.4845,2000,2000,0.001,1
gated,0.9,gaussian_noise,3,0.6455000042915344,0.3544999957084656,1.0057061910629272,0.9081157445907593,0.035420432686805725,1.6801202000000046,0.2445,2000,2000,0.001,1
source,,gaussian_noise,4,0.40450000762939453,0.5954999923706055,1.9543395042419434,0.9846534132957458,0.2552049458026886,0.8068652999999983,0.0,2000,2000,,
bn,,gaussian_noise,4,0.5860000252723694,0.4139999747276306,1.2097735404968262,0.9991910457611084,0.06232263520359993,0.8263235000000009,1.0,2000,2000,,
entropy,,gaussian_noise,4,0.6025000214576721,0.3974999785423279,1.1777676343917847,0.9548471570014954,0.05946386605501175,1.6048647000000003,1.0,2000,2000,0.001,1
gated,0.5,gaussian_noise,4,0.6014999747276306,0.3985000252723694,1.1795756816864014,0.9569893479347229,0.06015654280781746,1.6734268000000014,0.6955,2000,2000,0.001,1
gated,0.7,gaussian_noise,4,0.6000000238418579,0.3999999761581421,1.1812522411346436,0.9604142904281616,0.05958440154790878,1.7017520000000061,0.4415,2000,2000,0.001,1
